car,parent,hash_hex,topspeed0,topspeed1,topspeed2,topspeed3,acceleration0,acceleration1,acceleration2,acceleration3,handling0,handling1,handling2,handling3,topspeed_source,acceleration_source,handling_source
bmwm6conv,exotic,0xB924DD04,399.0,816.0,754.0,880.0,645.0,880.0,893.0,888.0,736.0,713.0,718.0,716.0,bmwm6conv,bmwm6conv,bmwm6conv
bmwz4gt3,exotic,0x1758BB98,601.0,888.0,785.0,914.0,842.0,882.0,893.0,871.0,533.0,578.0,567.0,560.0,bmwz4gt3,bmwz4gt3,bmwz4gt3
boxsterspyder,tuner,0xB153B4C3,405.0,818.0,749.0,884.0,623.0,838.0,880.0,879.0,702.0,684.0,689.0,662.0,boxsterspyder,boxsterspyder,boxsterspyder
camaro,muscle,0x90944519,230.0,784.0,721.0,876.0,446.0,810.0,810.0,805.0,411.0,531.0,498.0,556.0,camaro,camaro,camaro
camarozl1,muscle,0xF4409130,391.0,817.0,756.0,878.0,614.0,756.0,761.0,750.0,516.0,553.0,542.0,540.0,camarozl1,camarozl1,camarozl1
car1002,exotic,0x21062552,659.0,918.0,856.0,982.0,829.0,909.0,921.0,903.0,689.0,682.0,682.0,636.0,car1002,car1002,car1002
car1004,exotic,0x964A1185,679.0,918.0,859.0,982.0,858.0,943.0,937.0,947.0,696.0,731.0,700.0,700.0,car1004,car1004,car1004
car1006,exotic,0x952947E7,686.0,924.0,875.0,982.0,844.0,884.0,886.0,878.0,640.0,636.0,693.0,622.0,car1006,car1006,car1006
car1008,exotic,0xA416F8D0,687.0,918.0,859.0,983.0,858.0,931.0,944.0,943.0,649.0,791.0,760.0,767.0,car1008,car1008,car1008
car1010,tuner,0xAD109E48,595.0,890.0,786.0,914.0,732.0,943.0,958.0,940.0,538.0,564.0,540.0,567.0,car1010,car1010,car1010
car1012,tuner,0x5AE1270C,231.0,790.0,722.0,867.0,374.0,772.0,862.0,818.0,367.0,476.0,476.0,476.0,car1012,car1012,car1012
car1014,exotic,0xE4C65C40,697.0,918.0,893.0,950.0,866.0,923.0,933.0,933.0,602.0,524.0,573.0,549.0,car1014,car1014,car1014
car1016,exotic,0xD67DF1AC,590.0,889.0,780.0,919.0,811.0,910.0,931.0,871.0,673.0,676.0,676.0,673.0,car1016,car1016,car1016
car1018,exotic,0x179DBAE9,589.0,888.0,786.0,921.0,848.0,887.0,897.0,891.0,693.0,707.0,656.0,696.0,car1018,car1018,car1018
car1020,muscle,0xA2E03596,361.0,808.0,750.0,880.0,650.0,769.0,844.0,773.0,471.0,504.0,416.0,422.0,car1020,car1020,car1020
car1022,tuner,0x2147C2E0,390.0,820.0,752.0,880.0,519.0,797.0,822.0,801.0,478.0,784.0,551.0,542.0,car1022,car1022,car1022
car1024,muscle,0x30837FE9,382.0,789.0,734.0,848.0,598.0,771.0,764.0,742.0,584.0,700.0,596.0,613.0,car1024,car1024,car1024
car1026,tuner,0x8519B172,386.0,816.0,755.0,878.0,435.0,807.0,856.0,806.0,340.0,513.0,389.0,387.0,car1026,car1026,car1026
car1028,muscle,0x41A79476,394.0,812.0,747.0,842.0,620.0,763.0,780.0,745.0,558.0,769.0,589.0,620.0,car1028,car1028,car1028
car1030,exotic,0xE1F937FD,692.0,916.0,850.0,982.0,864.0,895.0,925.0,913.0,638.0,836.0,676.0,718.0,car1030,car1030,car1030
car1032,tuner,0x6DC0AB32,233.0,796.0,717.0,854.0,306.0,736.0,828.0,787.0,262.0,620.0,469.0,484.0,car1032,car1032,car1032
car1034,exotic,0x2EA19125,689.0,886.0,844.0,981.0,860.0,905.0,937.0,902.0,736.0,844.0,800.0,802.0,car1034,car1034,car1034
car1036,muscle,0xA2FE0C50,494.0,816.0,787.0,880.0,586.0,758.0,828.0,776.0,502.0,729.0,556.0,533.0,car1036,car1036,car1036
car1038,exotic,0xABF7420D,695.0,916.0,850.0,982.0,866.0,906.0,927.0,913.0,667.0,853.0,724.0,718.0,car1038,car1038,car1038
car1040,tuner,0x8C84118F,430.0,820.0,761.0,886.0,581.0,854.0,887.0,866.0,427.0,884.0,716.0,764.0,car1040,car1040,car1040
car1044,muscle,0x485B76B9,598.0,801.0,775.0,888.0,767.0,819.0,856.0,822.0,551.0,820.0,613.0,618.0,car1044,car1044,car1044
car1046,tuner,0x5B1374D3,430.0,821.0,761.0,886.0,602.0,854.0,886.0,866.0,416.0,878.0,713.0,744.0,car1046,car1046,car1046
car1048,muscle,0xEC764836,473.0,829.0,824.0,882.0,616.0,763.0,799.0,763.0,520.0,736.0,547.0,593.0,car1048,car1048,car1048
car1050,tuner,0x564DF906,425.0,789.0,752.0,886.0,431.0,750.0,802.0,764.0,538.0,831.0,589.0,602.0,car1050,car1050,car1050
car1052,exotic,0x1232468D,642.0,830.0,808.0,890.0,813.0,860.0,890.0,862.0,689.0,802.0,696.0,691.0,car1052,car1052,car1052
car1054,muscle,0xDF2539A7,394.0,812.0,747.0,842.0,620.0,763.0,780.0,745.0,558.0,769.0,589.0,620.0,car1054,car1054,car1054
car1056,tuner,0xBD380234,425.0,778.0,752.0,878.0,490.0,757.0,838.0,780.0,491.0,891.0,662.0,684.0,car1056,car1056,car1056
car1060,exotic,0xDE477480,821.0,879.0,878.0,1045.0,870.0,897.0,944.0,894.0,756.0,918.0,776.0,769.0,car1060,car1060,car1060
car1062,exotic,0x7B0D10AD,692.0,916.0,850.0,982.0,864.0,895.0,925.0,913.0,638.0,836.0,676.0,718.0,car1062,car1062,car1062
car1064,exotic,0x07039C9C,687.0,788.0,788.0,887.0,811.0,862.0,927.0,868.0,738.0,840.0,784.0,778.0,car1064,car1064,car1064
car1066,muscle,0x02EFAF30,430.0,818.0,792.0,884.0,616.0,836.0,866.0,813.0,651.0,889.0,731.0,711.0,car1066,car1066,car1066
car1068,exotic,0x663F1664,594.0,762.0,762.0,852.0,789.0,813.0,882.0,837.0,624.0,762.0,664.0,682.0,car1068,car1068,car1068
carreragt,exotic,0x67063DD4,657.0,917.0,851.0,982.0,837.0,911.0,919.0,927.0,780.0,776.0,778.0,776.0,carreragt,carreragt,carreragt
caymans,exotic,0x41555BEB,336.0,808.0,750.0,881.0,512.0,750.0,789.0,750.0,227.0,460.0,396.0,402.0,caymans,caymans,caymans
ccx,exotic,0x32C1DCA6,603.0,888.0,790.0,922.0,815.0,890.0,886.0,886.0,676.0,678.0,684.0,660.0,ccx,ccx,ccx
ccxworld100,exotic,0xA9D40213,604.0,888.0,790.0,922.0,819.0,890.0,878.0,879.0,687.0,691.0,698.0,676.0,ccxworld100,ccxworld100,ccxworld100
challenger71,muscle,0xA3906772,208.0,784.0,720.0,869.0,153.0,691.0,734.0,663.0,164.0,220.0,151.0,153.0,challenger71,challenger71,challenger71
challenger71_rp,challenger71,0xF9E7645B,217.0,784.0,720.0,869.0,183.0,691.0,734.0,663.0,149.0,220.0,151.0,153.0,challenger71_rp,challenger71_rp,challenger71_rp
challengern,muscle,0xB978AF38,390.0,793.0,733.0,858.0,520.0,768.0,802.0,791.0,642.0,518.0,527.0,518.0,challengern,challengern,challengern
charger07bee,muscle,0x144B0FD7,347.0,816.0,753.0,872.0,507.0,715.0,799.0,718.0,256.0,178.0,211.0,216.0,charger07bee,charger07bee,charger07bee
charger07bee_escape,charger07bee,0xCA7FA1D0,347.0,814.0,748.0,888.0,485.0,607.0,663.0,651.0,176.0,180.0,171.0,176.0,charger07bee_escape,charger07bee_escape,charger07bee_escape
charger69,muscle,0x868D6F75,127.0,782.0,720.0,871.0,187.0,680.0,773.0,744.0,251.0,260.0,200.0,191.0,charger69,charger69,charger69
charger69_rp,charger69,0x009EEE7A,152.0,782.0,720.0,871.0,334.0,680.0,773.0,744.0,331.0,260.0,200.0,191.0,charger69_rp,charger69_rp,charger69_rp
charger69_stage1rp,charger69,0xF3F57EDD,336.0,0.0,0.0,0.0,368.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,charger69_stage1rp,charger69_stage1rp,charger69_stage1rp
charger69_stage2rp,charger69,0x8E83E0DC,353.0,0.0,0.0,0.0,386.0,0.0,0.0,0.0,309.0,0.0,0.0,0.0,charger69_stage2rp,charger69_stage2rp,charger69_stage2rp
chevelle,muscle,0x03E07E4E,228.0,788.0,727.0,877.0,440.0,793.0,825.0,781.0,313.0,311.0,278.0,307.0,chevelle,chevelle,chevelle
cliov6,tuner,0xB2DA19E7,229.0,783.0,720.0,876.0,484.0,773.0,842.0,815.0,371.0,516.0,518.0,496.0,cliov6,cliov6,cliov6
conss10,exotic,0xB5B71675,556.0,841.0,745.0,859.0,807.0,842.0,879.0,852.0,736.0,727.0,729.0,716.0,conss10,conss10,conss10
conss10_te,conss10,0x16401E7A,556.0,840.0,745.0,858.0,807.0,849.0,879.0,874.0,727.0,733.0,731.0,733.0,conss10_te,conss10_te,conss10_te
cop_copsuv,muscle,0xA14399B4,395.0,700.0,650.0,750.0,420.0,650.0,750.0,700.0,370.0,750.0,700.0,650.0,cop_copsuv,cop_copsuv,cop_copsuv
corolla,tuner,0x35124316,184.0,786.0,720.0,861.0,305.0,767.0,822.0,732.0,342.0,507.0,429.0,422.0,corolla,corolla,corolla
corvette67,muscle,0xB5804C5E,405.0,815.0,754.0,882.0,513.0,752.0,797.0,761.0,529.0,540.0,538.0,549.0,corvette67,corvette67,corvette67
corvettez06,muscle,0x6E7A4133,588.0,879.0,785.0,914.0,777.0,838.0,864.0,850.0,447.0,413.0,416.0,384.0,corvettez06,corvettez06,corvettez06
corvettez06_t,corvettez06,0x6798E8AE,760.0,0.0,0.0,0.0,780.0,0.0,0.0,0.0,760.0,0.0,0.0,0.0,corvettez06_t,corvettez06_t,corvettez06_t
corvettezr1,muscle,0x7B81A240,591.0,884.0,788.0,915.0,811.0,874.0,867.0,862.0,622.0,600.0,607.0,593.0,corvettezr1,corvettezr1,corvettezr1
cosworth,tuner,0xE14EA776,391.0,820.0,752.0,880.0,563.0,779.0,821.0,810.0,409.0,582.0,569.0,567.0,cosworth,cosworth,cosworth
countach,exotic,0x2CEC78F1,393.0,817.0,752.0,882.0,551.0,789.0,797.0,781.0,487.0,496.0,516.0,498.0,countach,countach,countach
crowncop,muscle,0x6E43A6F2,368.0,822.0,746.0,879.0,460.0,757.0,779.0,754.0,562.0,567.0,533.0,527.0,crowncop,crowncop,crowncop
ctsv,muscle,0x9E0638BF,406.0,815.0,754.0,882.0,523.0,742.0,773.0,776.0,562.0,558.0,527.0,527.0,ctsv,ctsv,ctsv
cuda,muscle,0x5F6DF4C6,233.0,786.0,721.0,875.0,415.0,724.0,740.0,738.0,576.0,560.0,573.0,562.0,cuda,cuda,cuda
daytonacoupe,muscle,0x529FE353,405.0,815.0,754.0,882.0,515.0,752.0,775.0,744.0,529.0,502.0,544.0,536.0,daytonacoupe,daytonacoupe,daytonacoupe
dbs,exotic,0x2C0BFCF6,590.0,884.0,789.0,918.0,810.0,883.0,882.0,868.0,596.0,562.0,556.0,573.0,dbs,dbs,dbs
dbsvolante,exotic,0x5FBFC531,590.0,884.0,789.0,918.0,810.0,883.0,882.0,868.0,596.0,562.0,556.0,573.0,dbsvolante,dbsvolante,dbsvolante
delta,tuner,0xF6CD886B,391.0,820.0,752.0,882.0,553.0,777.0,829.0,810.0,420.0,582.0,564.0,560.0,delta,delta,delta
diablo,exotic,0x59826D64,414.0,818.0,754.0,882.0,572.0,799.0,807.0,784.0,498.0,509.0,529.0,511.0,diablo,diablo,diablo
eclipseelite,tuner,0x6EF0DB19,231.0,790.0,722.0,867.0,470.0,815.0,842.0,821.0,431.0,560.0,538.0,540.0,eclipseelite,eclipseelite,eclipseelite
eclipsegt,tuner,0xA2D70BBD,156.0,786.0,718.0,864.0,143.0,688.0,728.0,685.0,304.0,302.0,253.0,256.0,eclipsegt,eclipsegt,eclipsegt
elcamino,muscle,0x7826B339,405.0,815.0,754.0,882.0,529.0,750.0,793.0,764.0,553.0,571.0,551.0,544.0,elcamino,elcamino,elcamino
elcamino_te,elcamino,0x936A396D,405.0,815.0,754.0,882.0,529.0,750.0,793.0,764.0,553.0,571.0,551.0,544.0,elcamino_te,elcamino_te,elcamino_te
elise,exotic,0x313D4936,376.0,816.0,763.0,890.0,472.0,776.0,814.0,777.0,653.0,869.0,809.0,780.0,elise,elise,elise
europa,exotic,0x91A20AB4,397.0,817.0,750.0,887.0,619.0,866.0,874.0,871.0,673.0,651.0,636.0,640.0,europa,europa,europa
evora,exotic,0xD9B0CB22,603.0,887.0,793.0,882.0,781.0,832.0,856.0,846.0,613.0,611.0,627.0,633.0,evora,evora,evora
exigecup260,exotic,0x8F185642,396.0,821.0,753.0,881.0,588.0,789.0,834.0,838.0,471.0,836.0,793.0,824.0,exigecup260,exigecup260,exigecup260
firebird78,muscle,0x13FE041F,235.0,784.0,725.0,871.0,459.0,756.0,795.0,765.0,564.0,547.0,558.0,540.0,firebird78,firebird78,firebird78
focusrs10,tuner,0xD6298939,396.0,815.0,752.0,885.0,509.0,789.0,793.0,801.0,469.0,622.0,602.0,600.0,focusrs10,focusrs10,focusrs10
fordgt,exotic,0x42C0A5EA,592.0,887.0,788.0,916.0,760.0,852.0,858.0,870.0,418.0,447.0,438.0,364.0,fordgt,fordgt,fordgt
fordgt40,exotic,0xA38BC342,407.0,814.0,750.0,878.0,553.0,789.0,805.0,779.0,476.0,507.0,507.0,502.0,fordgt40,fordgt40,fordgt40
g35,tuner,0xE73E8E70,227.0,786.0,724.0,875.0,318.0,750.0,834.0,802.0,342.0,422.0,436.0,442.0,g35,g35,g35
gallardo,exotic,0x7B2CC40B,450.0,675.0,625.0,725.0,500.0,625.0,725.0,675.0,475.0,725.0,675.0,625.0,gallardo,gallardo,gallardo
gallardo09,exotic,0xD9B8652A,583.0,847.0,699.0,915.0,728.0,809.0,793.0,814.0,467.0,522.0,473.0,491.0,gallardo09,gallardo09,gallardo09
gallardo10vb,exotic,0x88D2C15C,601.0,888.0,786.0,913.0,837.0,874.0,886.0,868.0,544.0,562.0,569.0,578.0,gallardo10vb,gallardo10vb,gallardo10vb
gallardospydr,exotic,0x740829CB,584.0,846.0,769.0,915.0,728.0,809.0,761.0,814.0,467.0,524.0,476.0,473.0,gallardospydr,gallardospydr,gallardospydr
gtimk1,tuner,0xE22F2182,231.0,789.0,722.0,867.0,415.0,805.0,837.0,815.0,411.0,536.0,533.0,524.0,gtimk1,gtimk1,gtimk1
gto65,muscle,0xE6E22BE4,226.0,784.0,720.0,870.0,224.0,688.0,740.0,684.0,162.0,213.0,144.0,149.0,gto65,gto65,gto65
gto65_escape,gto65,0x05E3FD51,226.0,784.0,720.0,869.0,338.0,711.0,745.0,675.0,202.0,231.0,171.0,178.0,gto65_escape,gto65_escape,gto65_escape
imprezasti09,tuner,0x4DE0CE99,399.0,820.0,754.0,879.0,573.0,793.0,841.0,805.0,584.0,640.0,593.0,600.0,imprezasti09,imprezasti09,imprezasti09
imprezawrx_rp,imprezawrxsti,0xB8A983AC,334.0,820.0,754.0,879.0,344.0,720.0,780.0,732.0,436.0,356.0,420.0,418.0,imprezawrx_rp,imprezawrx_rp,imprezawrx_rp
imprezawrxsti,tuner,0xA232EDC5,318.0,820.0,754.0,879.0,336.0,720.0,780.0,732.0,422.0,356.0,420.0,418.0,imprezawrxsti,imprezawrxsti,imprezawrxsti
imprezawrxsti_stage1rp,imprezawrxsti,0x63547746,525.0,0.0,0.0,0.0,588.0,0.0,0.0,0.0,588.0,0.0,0.0,0.0,imprezawrxsti_stage1rp,imprezawrxsti_stage1rp,imprezawrxsti_stage1rp
imprezawrxsti_stage2rp,imprezawrxsti,0xD6D02090,630.0,0.0,0.0,0.0,735.0,0.0,0.0,0.0,651.0,0.0,0.0,0.0,imprezawrxsti_stage2rp,imprezawrxsti_stage2rp,imprezawrxsti_stage2rp
is300,tuner,0x5BFF2FB0,179.0,786.0,723.0,875.0,302.0,746.0,842.0,805.0,351.0,462.0,460.0,464.0,is300,is300,is300
is350,tuner,0xEC764047,227.0,786.0,724.0,875.0,310.0,750.0,834.0,802.0,340.0,440.0,433.0,440.0,is350,is350,is350
isf,tuner,0xF5F9C526,384.0,876.0,808.0,946.0,480.0,711.0,797.0,700.0,273.0,296.0,300.0,293.0,isf,isf,isf
jaguaretype,exotic,0xAE96A262,406.0,815.0,754.0,882.0,516.0,756.0,775.0,749.0,538.0,516.0,549.0,529.0,jaguaretype,jaguaretype,jaguaretype
jaguarxkr,exotic,0xC2206794,588.0,882.0,784.0,915.0,787.0,862.0,887.0,858.0,589.0,678.0,602.0,593.0,jaguarxkr,jaguarxkr,jaguarxkr
lambosesto,exotic,0x721A26B2,635.0,906.0,797.0,927.0,836.0,891.0,879.0,884.0,598.0,640.0,638.0,611.0,lambosesto,lambosesto,lambosesto
lancerevo8,tuner,0xCCEEFBB6,346.0,816.0,748.0,873.0,432.0,737.0,856.0,791.0,413.0,376.0,349.0,387.0,lancerevo8,lancerevo8,lancerevo8
lancerevo9,tuner,0x7D41944D,299.0,806.0,748.0,873.0,450.0,631.0,862.0,801.0,240.0,344.0,173.0,207.0,lancerevo9,lancerevo9,lancerevo9
lancerevo9_a,lancerevo9,0x35EBF6FD,580.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,610.0,0.0,0.0,0.0,lancerevo9_a,lancerevo9_a,lancerevo9_a
lancerevo9_h,lancerevo9,0x518F4700,580.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,610.0,0.0,0.0,0.0,lancerevo9_h,lancerevo9_h,lancerevo9_h
lancerevo9_t,lancerevo9,0xBBBEE191,580.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,610.0,0.0,0.0,0.0,lancerevo9_t,lancerevo9_t,lancerevo9_t
lancerevox,tuner,0x6B8F9A20,367.0,816.0,749.0,882.0,482.0,785.0,874.0,823.0,498.0,367.0,387.0,378.0,lancerevox,lancerevox,lancerevox
lexuslfa,exotic,0xCAEC7C7D,591.0,884.0,788.0,917.0,836.0,929.0,919.0,919.0,713.0,709.0,698.0,693.0,lexuslfa,lexuslfa,lexuslfa
mazdaspeed3,tuner,0x7076AC12,205.0,782.0,715.0,867.0,155.0,756.0,779.0,726.0,320.0,458.0,407.0,411.0,mazdaspeed3,mazdaspeed3,mazdaspeed3
mclarenmp4,exotic,0x0A26055C,589.0,888.0,786.0,921.0,848.0,887.0,897.0,891.0,693.0,707.0,656.0,696.0,mclarenmp4,mclarenmp4,mclarenmp4
megane,exotic,0x4FEAB2CC,900.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,megane,megane,megane
meganers10,tuner,0xFF770C26,393.0,816.0,755.0,880.0,529.0,777.0,791.0,813.0,529.0,887.0,800.0,824.0,meganers10,meganers10,meganers10
miurasv,exotic,0xABC59942,392.0,820.0,754.0,883.0,558.0,793.0,834.0,842.0,489.0,860.0,784.0,802.0,miurasv,miurasv,miurasv
mr2,tuner,0x30890C86,232.0,786.0,715.0,871.0,460.0,819.0,840.0,814.0,389.0,511.0,509.0,502.0,mr2,mr2,mr2
murcielago640,exotic,0xE4DB67B3,597.0,867.0,788.0,921.0,777.0,858.0,858.0,856.0,591.0,602.0,627.0,609.0,murcielago640,murcielago640,murcielago640
murcielago650,exotic,0x06F7954F,594.0,891.0,784.0,916.0,826.0,884.0,870.0,879.0,582.0,616.0,633.0,607.0,murcielago650,murcielago650,murcielago650
murcielagosv,exotic,0xCC249A95,659.0,924.0,852.0,982.0,830.0,884.0,883.0,876.0,633.0,636.0,680.0,649.0,murcielagosv,murcielagosv,murcielagosv
mustangboss12,muscle,0xFCB36CF4,604.0,889.0,790.0,917.0,858.0,903.0,914.0,897.0,604.0,704.0,793.0,620.0,mustangboss12,mustangboss12,mustangboss12
mustangboss69,muscle,0x5234E80B,386.0,819.0,751.0,880.0,616.0,787.0,825.0,769.0,513.0,527.0,533.0,531.0,mustangboss69,mustangboss69,mustangboss69
mx508,tuner,0x87D13388,227.0,787.0,724.0,875.0,298.0,749.0,832.0,806.0,269.0,384.0,373.0,380.0,mx508,mx508,mx508
panamera10,tuner,0x6E5D7E15,400.0,818.0,750.0,880.0,623.0,854.0,866.0,866.0,736.0,722.0,711.0,709.0,panamera10,panamera10,panamera10
r32,tuner,0x942BBF21,257.0,814.0,746.0,863.0,221.0,748.0,781.0,720.0,251.0,364.0,309.0,320.0,r32,r32,r32
r8,exotic,0x8774322C,573.0,851.0,781.0,920.0,598.0,783.0,814.0,795.0,380.0,356.0,338.0,340.0,r8,r8,r8
r8_rp,r8,0x05C73128,583.0,851.0,781.0,920.0,607.0,783.0,814.0,795.0,391.0,356.0,338.0,340.0,r8_rp,r8_rp,r8_rp
r8_stage1rp,r8,0x660A4F94,800.0,0.0,0.0,0.0,780.0,0.0,0.0,0.0,825.0,0.0,0.0,0.0,r8_stage1rp,r8_stage1rp,r8_stage1rp
r8v10,exotic,0x64E75A85,590.0,890.0,782.0,920.0,836.0,943.0,932.0,921.0,533.0,424.0,429.0,436.0,r8v10,r8v10,r8v10
roadrunner,muscle,0x1B67BDAC,226.0,786.0,721.0,875.0,420.0,695.0,737.0,745.0,573.0,562.0,540.0,544.0,roadrunner,roadrunner,roadrunner
rs1,exotic,0x9407F839,396.0,816.0,752.0,884.0,535.0,806.0,809.0,821.0,409.0,569.0,544.0,544.0,rs1,rs1,rs1
rs4,exotic,0x4771A048,389.0,820.0,746.0,885.0,569.0,802.0,834.0,844.0,209.0,247.0,218.0,213.0,rs4,rs4,rs4
rtrx69,muscle,0x81FDE383,597.0,895.0,788.0,918.0,821.0,890.0,890.0,886.0,784.0,709.0,722.0,702.0,rtrx69,rtrx69,rtrx69
rx7,tuner,0x8E09C833,292.0,819.0,751.0,875.0,421.0,775.0,805.0,742.0,449.0,491.0,447.0,458.0,rx7,rx7,rx7
rx7rz,tuner,0x41F2F051,386.0,819.0,751.0,880.0,511.0,787.0,825.0,771.0,498.0,504.0,518.0,522.0,rx7rz,rx7rz,rx7rz
rx8,tuner,0xD6334437,229.0,784.0,717.0,870.0,512.0,848.0,856.0,834.0,402.0,540.0,524.0,529.0,rx8,rx8,rx8
rx82009,tuner,0x36766471,229.0,783.0,717.0,871.0,516.0,849.0,856.0,830.0,400.0,536.0,513.0,524.0,rx82009,rx82009,rx82009
s5,exotic,0x24C2EB56,358.0,814.0,752.0,882.0,589.0,714.0,840.0,699.0,280.0,349.0,216.0,200.0,s5,s5,s5
